year,Human,Missing data/not specified/undetermined,Natural,Arson/incendiarism,Debris and open burning,Equipment and vehicle use,Firearms and explosives use,Fireworks,Missing data/not specified/undetermined,Misuse of fire by a minor,Natural,Other causes,Power generation/transmission/distribution,Railroad operations and maintenance,Recreation and ceremony,Smoking
1992,47399,7986,12576,11250,12792,5637,1,278,14837,2750,12576,230,192,2000,2774,2644
1993,45417,8710,7848,11036,12508,5516,1,278,14931,2288,7848,122,166,1840,3012,2429
1994,49617,9437,16878,10235,14964,5412,0,511,15879,2979,16878,193,210,1970,4036,2665
1995,55006,7916,8518,12889,16856,5585,3,277,14443,3034,8518,295,202,2168,4252,2918
1996,53264,9148,13149,10449,17039,6174,7,453,15094,2766,13149,253,361,2914,4392,2510
1997,51123,1453,8866,11335,14976,5830,5,388,9877,2648,8866,280,331,2192,2713,2001
1998,55778,1222,11356,14199,15439,6221,3,446,9430,3059,11356,258,553,1900,3038,2454
1999,75701,1341,12308,19587,23081,7911,42,489,11816,3402,12308,475,612,2582,3737,3308
2000,78705,785,16907,18041,22371,6823,22,457,18181,3438,16907,322,520,3163,3048,3104
2001,71384,1362,14255,17208,22071,6974,50,585,12115,3543,14255,305,551,2374,3483,3487
2002,61712,1545,12871,13125,19821,5731,26,531,12188,2899,12871,326,574,1947,3480,2609
2003,47302,6883,14090,9931,12796,5773,30,686,17060,2181,14090,259,478,619,2818,1554
2004,52529,4922,11919,11379,17290,5721,38,564,14736,2039,11919,293,475,762,2506,1648
2005,70745,10489,11687,15371,19984,7815,50,719,26537,2726,11687,321,652,869,3882,2308
2006,91744,8299,17900,19825,27147,10212,91,1215,29806,3434,17900,344,820,1040,3019,3090
2007,71302,14452,13083,13791,20139,7601,159,950,31957,2762,13083,318,1051,941,3739,2346
2008,68693,9419,10194,9655,19946,7820,59,575,30099,2365,10194,310,856,804,3510,2113
2009,62690,8230,10572,9177,19138,6539,112,723,24553,2035,10572,347,1625,1377,3423,1871
2010,66637,9681,9261,10356,20740,6219,245,742,27076,2016,9261,470,1875,721,3769,2089
2011,70107,15806,12991,9609,22180,7581,344,592,33784,2225,12991,416,3182,720,3148,2132
2012,58434,4266,11558,9210,17145,5713,209,971,19987,1923,11558,554,1156,625,3558,1649
2013,50974,5037,10423,6317,17143,4693,90,783,19154,1373,10423,461,1172,432,2998,1395
2014,58844,2793,8843,6618,20348,4980,75,659,19341,1342,8843,492,1767,551,4066,1398
2015,61839,5284,10152,6383,18895,5958,76,680,24661,1332,10152,542,2098,386,3994,2118
2016,70778,3169,8047,9855,22254,6593,78,858,22109,1873,8047,663,2360,518,4357,2429
2017,65914,7612,8752,7470,21482,7407,90,1065,26682,1273,8752,461,2351,525,2995,1726
2018,66420,6640,7803,6019,18674,7385,299,730,31105,925,7803,453,2301,497,2978,1694
