year,#A,#B,#C,#D,#E,#F,#G,A_acres,B_acres,C_acres,D_acres,E_acres,F_acres,G_acres
1992,25531,32977,7954,876,368,197,58,3021,73032,223552,138751,188603,392469,1180495
1993,20761,32191,7571,831,397,159,65,2478,70810,207438,133823,204211,347143,1225685
1994,27890,36815,8829,1182,667,403,146,3314,79471,253557,194533,355468,833244,2395997
1995,23896,36850,8922,1005,473,225,69,2905,81907,250855,161951,244813,452710,854413
1996,25114,37840,10118,1220,694,374,201,2968,85180,289313,199599,349415,802881,4275478
1997,21739,31599,6937,712,279,115,61,2607,67648,190126,113046,144215,247041,2466885
1998,23462,35242,8072,906,409,189,76,2844,77496,221231,146171,211024,405526,951649
1999,27720,47200,11855,1373,672,374,156,3423,106800,329266,220697,344757,774920,4357086
2000,33253,47495,12429,1625,840,503,252,3869,107189,353796,262444,434623,1042795,5572472
2001,31485,44030,9187,1215,612,355,117,3778,93022,254379,198773,319937,744425,2222085
2002,27875,37951,8480,979,420,253,170,3333,81091,240423,153521,217221,556393,5572162
2003,28292,31800,6399,862,485,309,128,3285,63171,179388,140855,249389,681783,3193319
2004,27423,32825,7736,758,341,169,118,3246,69277,221164,124592,169171,351918,7309204
2005,30899,47746,11494,1460,703,395,224,3733,102576,324088,236843,356350,841773,7845485
2006,36681,60658,16264,2290,1150,629,271,4466,130072,470831,368330,590143,1359459,7159524
2007,36126,49168,10764,1456,699,390,234,4291,100072,311427,237430,355960,839305,7433225
2008,30035,44754,10348,1693,847,469,160,3631,89714,301800,266172,420647,990515,3354948
2009,29555,40272,9205,1322,664,336,138,3466,81883,269947,216513,333220,713100,4476850
2010,32623,41280,9511,1229,579,252,105,3836,86467,271888,202597,297558,520940,2143166
2011,34884,48471,11771,1887,995,619,277,3994,101278,343599,304135,507031,1290416,7134856
2012,28803,35009,7961,1182,641,418,244,3423,71411,236920,192217,337430,883694,7723460
2013,29517,29746,5872,678,301,188,132,3489,59180,171406,109365,152515,420859,3577611
2014,29772,31907,7242,868,374,214,103,3471,66638,209807,143458,191102,468685,2593837
2015,34772,32429,7761,1114,570,337,292,3708,67814,225896,180867,295676,789134,8663074
2016,36105,35246,8156,1210,706,400,171,3733,75515,239279,200858,385333,836455,3622537
2017,36167,34875,8544,1243,720,447,283,3695,73452,252235,204341,377886,966751,8367304
2018,40314,31396,6865,1085,621,378,204,3820,62831,202977,173839,319395,864147,6616913
